TrackID,variant,a,b,c,d,r2
4507,with,0.5383056709182729,0.5370907869946625,-2.388706178559359,0.8579232994940948,0.6310272671584929
4509,with,0.5766551382474567,0.4968443315274762,-2.3187061405556326,0.9770012347044882,0.6612135027970472
4511,with,0.3361577161998606,0.45699599601409946,-1.8907292426448654,0.7357529434136749,0.4721651856225183
4513,with,0.47695026921913175,0.5219982573322417,-2.440401941356381,0.8891406806049756,0.6546753880643814
4515,with,0.48474904146477543,0.5056730515697647,-2.1766043089335283,0.8228357121442793,0.5933485725831039
4517,with,0.5362896353916395,0.4942526657921573,-2.0314585856525107,1.2255486531381306,0.6538464891171096
4519,with,0.508712218180111,0.4742458953215659,-1.8718859625801778,1.0383326742032306,0.6904149648885717
6503,with,0.5425124503889641,0.4941400670373093,-2.1609768540756455,0.8148420521540686,0.7474341734603086
6507,with,0.49682057535095886,0.49000823886902634,-2.195970791903836,0.8596029933217341,0.6952236867575684
6521,with,0.40916091436942365,0.5004945265662125,-2.203056927485745,0.754760561223309,0.5793822270808113
